OrdemN, IJ, JI
35, 0.000010, 0.000010
1015, 0.006607, 0.009825
2035, 0.023569, 0.052277
3075, 0.055154, 0.124997
4000, 0.087500, 0.226099
5014, 0.140717, 0.343344
6055, 0.199538, 0.524778
7050, 0.274838, 0.771003
8012, 0.351422, 1.037303
9018, 0.444719, 1.372020
10028, 0.551102, 1.791728
11001, 0.660914, 2.256444
12024, 0.787684, 2.800180
13070, 0.934165, 3.287763
14009, 1.087335, 4.065848
15046, 1.233620, 4.955187
16080, 1.423141, 5.781535
17060, 1.583674, 7.199093
18090, 1.776764, 8.547548
19085, 2.068113, 9.976575
20029, 2.205236, 10.375255
21010, 2.401873, 11.902388
22021, 2.644239, 14.687618
23021, 2.965924, 13.644578
24085, 3.197891, 17.024133
25005, 3.443842, 16.942010
26060, 3.767423, 18.575170
27014, 4.000270, 18.869392
28076, 4.141292, 20.946177
29030, 4.637521, 28.761084
30021, 5.034244, 30.703338
