ordemN, IJ, JI
          65 ,   2.3000000000000017E-005 ,   2.0000000000002655E-006
        1498 ,   3.0844999999999997E-002 ,   2.0000000000020002E-006
        2062 ,   6.5387000000000001E-002 ,   0.0000000000000000     
        3487 ,  0.20622900000000000      ,   2.0000000000020002E-006
        4684 ,  0.36927499999999991      ,   0.0000000000000000     
        5582 ,  0.57220500000000007      ,   9.9999999991773336E-007
        6025 ,  0.63144400000000012      ,   2.0000000002795559E-006
        7753 ,   1.0883839999999996      ,   1.0000000001397780E-006
        8551 ,   1.3546290000000001      ,   1.0000000001397780E-006
        9960 ,   1.8564750000000005      ,   9.9999999925159955E-007
       10450 ,   2.2044280000000001      ,   9.9999999925159955E-007
       11039 ,   2.5328540000000004      ,   9.9999999747524271E-007
       12453 ,   3.3841000000000001      ,   1.9999999985031991E-006
       13405 ,   4.0293679999999981      ,   1.0000000010279564E-006
       14846 ,   5.1461059999999996      ,   2.0000000020559128E-006
       15011 ,   5.1380669999999995      ,   2.0000000020559128E-006
       16544 ,   6.5850239999999971      ,   1.9999999949504854E-006
       17888 ,   7.9100609999999989      ,   1.0000000045806701E-006
       18724 ,   7.7559359999999984      ,   1.9999999949504854E-006
       19490 ,   8.7950000000000017      ,   1.0000000116860974E-006
       20057 ,   9.7261099999999914      ,   1.9999999949504854E-006
       21919 ,   11.757536000000002      ,   9.9999999747524271E-007
       22357 ,   12.502545000000012      ,   9.9999999747524271E-007
       23516 ,   14.020670999999993      ,   1.9999999949504854E-006
       24376 ,   14.212182999999982      ,   9.9999999747524271E-007
       25516 ,   16.642695000000003      ,   9.9999999747524271E-007
       26837 ,   21.871689000000003      ,   9.9999999747524271E-007
       27862 ,   22.942565999999999      ,   2.0000000233721948E-006
       28159 ,   25.947596999999973      ,   1.9999999949504854E-006
       29098 ,   33.376333999999986      ,   9.9999999747524271E-007
       30416 ,   39.038102999999978      ,   9.9999999747524271E-007
